Open,High,Low,Close,Adj_Close,Volume
219.300003,226.25,219.300003,225.789993,225.789993,335900
225.039993,229.100006,223.619995,228.490005,228.490005,486900
228.300003,228.710007,223.039993,224.330002,224.330002,518700
226.399994,227.970001,217.350006,218.399994,218.399994,486900
218.300003,220.990005,214.399994,219.779999,219.779999,428200
216.639999,219.539993,211.009995,218.119995,218.119995,498900
218.0,220.630005,206.399994,206.949997,206.949997,655100
208.25,213.669998,205.570007,210.779999,210.779999,580100
204.559998,207.990005,200.850006,203.449997,203.449997,1205600
206.75,209.100006,199.860001,203.910004,203.910004,688400
204.210007,210.460007,203.75,210.220001,210.220001,683500
213.490005,216.110001,210.889999,212.119995,212.119995,831300
196.880005,207.800003,190.0,205.059998,205.059998,1582400
206.0,209.869995,195.009995,204.910004,204.910004,1044500
205.440002,205.529999,198.399994,201.449997,201.449997,626300
201.830002,204.089996,200.130005,202.270004,202.270004,572300
203.979996,210.149994,203.119995,209.789993,209.789993,551300
209.649994,212.179993,208.350006,209.669998,209.669998,508000
208.720001,209.399994,203.419998,207.169998,207.169998,464300
206.240005,207.229996,198.0,198.820007,198.820007,463500
198.0,202.25,196.5,198.839996,198.839996,533000
200.5,202.240005,195.169998,196.690002,196.690002,390500
195.630005,200.970001,193.369995,200.570007,200.570007,449100
199.910004,203.119995,198.449997,201.369995,201.369995,530000
201.300003,201.300003,191.059998,193.520004,193.520004,576900
190.619995,194.330002,188.75,192.160004,192.160004,535800
193.179993,195.470001,190.080002,193.490005,193.490005,438400
192.179993,195.830002,192.160004,192.649994,192.649994,152400
194.050003,196.990005,192.589996,196.699997,196.699997,427100
196.259995,198.009995,193.169998,194.399994,194.399994,406500
194.550003,202.729996,194.550003,202.410004,202.410004,487300
200.699997,202.410004,198.990005,201.119995,201.119995,408200
201.360001,204.369995,200.490005,203.759995,203.759995,516100
206.25,207.279999,204.369995,206.360001,206.360001,519900
206.679993,207.75,194.639999,196.800003,196.800003,822300
194.070007,199.970001,189.460007,199.690002,199.690002,860300
198.399994,199.550003,188.559998,190.009995,190.009995,621700
190.169998,196.240005,188.990005,196.0,196.0,591800
198.399994,199.660004,195.009995,196.470001,196.470001,500300
199.720001,202.800003,198.880005,199.729996,199.729996,430400
200.740005,201.020004,193.190002,194.970001,194.970001,444700
192.979996,193.75,189.580002,190.270004,190.270004,545500
189.470001,189.660004,182.419998,183.789993,183.789993,800500
185.600006,190.020004,183.770004,187.570007,187.570007,617600
188.339996,192.979996,181.529999,183.899994,183.899994,621800
182.5,187.820007,180.0,185.039993,185.039993,1102900
184.899994,188.979996,182.899994,184.940002,184.940002,1351100
183.820007,184.380005,176.169998,176.179993,176.179993,445900
176.149994,185.630005,176.149994,185.600006,185.600006,455100
182.759995,187.949997,180.5,187.949997,187.949997,647800
189.059998,189.350006,182.919998,185.880005,185.880005,542800
187.449997,187.970001,183.380005,186.020004,186.020004,680500
182.490005,184.169998,180.75,182.460007,182.460007,550200
181.309998,181.910004,176.110001,178.020004,178.020004,560300
180.710007,188.990005,180.710007,187.429993,187.429993,892200
187.919998,190.0,185.25,186.889999,186.889999,648700
188.839996,189.610001,184.520004,189.289993,189.289993,544400
190.270004,194.5,190.240005,192.220001,192.220001,575000
191.419998,193.119995,190.100006,192.720001,192.720001,303300
191.860001,193.009995,190.770004,192.910004,192.910004,355600
191.889999,192.600006,189.690002,189.789993,189.789993,509700
190.589996,196.289993,190.520004,196.009995,196.009995,586600
196.080002,199.679993,195.070007,197.240005,197.240005,995200
196.270004,199.210007,196.080002,196.899994,196.899994,472100
198.899994,200.979996,196.289993,200.869995,200.869995,796300
199.639999,201.429993,198.820007,201.309998,201.309998,473100
201.889999,204.039993,198.470001,201.639999,201.639999,369700
202.100006,206.449997,200.490005,206.160004,206.160004,617900
207.880005,209.490005,206.860001,208.850006,208.850006,483800
207.850006,207.869995,204.050003,205.699997,205.699997,424100
205.179993,207.110001,203.369995,204.289993,204.289993,475100
204.839996,209.529999,204.25,207.679993,207.679993,515600
208.110001,213.0,207.110001,212.779999,212.779999,674800
214.029999,214.5,201.589996,205.380005,205.380005,1292700
205.5,207.850006,202.179993,203.160004,203.160004,533900
203.509995,209.0,203.279999,207.979996,207.979996,673500
207.720001,209.75,207.190002,208.830002,208.830002,504400
207.270004,207.649994,204.289993,206.809998,206.809998,435300
206.020004,207.899994,204.809998,207.740005,207.740005,374700
208.410004,209.889999,206.410004,206.639999,206.639999,343000
208.039993,210.059998,206.779999,209.5,209.5,348000
210.320007,211.470001,209.100006,210.389999,210.389999,382700
209.490005,209.860001,205.210007,206.940002,206.940002,613700
208.580002,210.320007,207.009995,210.259995,210.259995,438600
210.089996,211.889999,209.0,211.320007,211.320007,484200
211.380005,212.5,210.649994,211.440002,211.440002,515000
210.770004,210.770004,204.779999,205.990005,205.990005,651600
206.490005,209.509995,206.279999,209.179993,209.179993,420500
210.440002,212.75,209.940002,210.100006,210.100006,492800
210.070007,210.070007,207.029999,207.740005,207.740005,427100
207.080002,209.229996,206.360001,208.970001,208.970001,279000
208.850006,212.139999,208.0,211.029999,211.029999,630100
213.25,216.850006,213.160004,215.929993,215.929993,520200
217.75,217.889999,212.149994,213.410004,213.410004,637600
213.100006,213.860001,210.259995,210.800003,210.800003,609700
211.669998,212.289993,207.300003,207.809998,207.809998,506800
207.350006,207.710007,203.240005,203.889999,203.889999,432600
202.630005,203.399994,198.75,201.740005,201.740005,712200
202.929993,205.960007,201.669998,204.720001,204.720001,506400
205.770004,205.990005,203.610001,205.970001,205.970001,417900
206.619995,211.070007,206.309998,209.889999,209.889999,480600
209.820007,210.960007,208.020004,210.869995,210.869995,473400
211.300003,216.350006,211.300003,216.210007,216.210007,941400
216.649994,217.970001,213.339996,215.740005,215.740005,551600
216.990005,219.0,216.479996,218.300003,218.300003,405100
217.350006,220.809998,216.440002,219.270004,219.270004,406900
219.039993,226.149994,219.039993,225.690002,225.690002,620000
225.229996,225.580002,219.320007,219.429993,219.429993,496200
219.309998,220.809998,217.889999,219.240005,219.240005,398300
221.059998,222.589996,219.089996,220.0,220.0,327200
220.710007,220.710007,215.389999,218.839996,218.839996,375700
218.919998,220.770004,217.589996,220.559998,220.559998,341300
221.929993,224.199997,220.820007,223.600006,223.600006,420100
225.520004,228.179993,222.699997,225.119995,225.119995,428500
225.490005,225.949997,223.509995,224.919998,224.919998,485700
226.720001,228.210007,225.199997,227.580002,227.580002,480600
227.779999,227.800003,222.839996,225.929993,225.929993,429800
226.449997,228.979996,226.389999,227.770004,227.770004,341900
226.830002,228.0,224.380005,227.75,227.75,788800
227.130005,228.589996,224.149994,224.779999,224.779999,425600
224.679993,226.139999,223.679993,224.520004,224.520004,526400
225.479996,225.889999,221.5,223.759995,223.759995,444600
225.220001,227.339996,223.710007,225.320007,225.320007,332000
225.839996,226.270004,223.830002,225.220001,225.220001,251400
227.100006,228.199997,221.0,222.169998,222.169998,341800
223.429993,223.830002,214.820007,215.529999,215.529999,508800
216.889999,219.080002,214.25,218.490005,218.490005,515000
216.820007,222.789993,216.820007,221.589996,221.589996,321200
221.0,226.300003,220.660004,224.449997,224.449997,560600
225.009995,226.479996,223.470001,224.580002,224.580002,414900
223.979996,228.320007,222.25,227.669998,227.669998,412300
227.789993,233.059998,227.050003,232.470001,232.470001,413700
231.669998,233.210007,229.009995,230.679993,230.679993,390200
230.990005,232.940002,230.039993,232.0,232.0,518300
231.630005,240.869995,230.0,234.059998,234.059998,713200
234.630005,242.509995,234.130005,242.339996,242.339996,680500
242.419998,251.380005,242.419998,250.470001,250.470001,852600
245.330002,252.339996,244.050003,251.880005,251.880005,513900
248.440002,250.220001,243.589996,245.449997,245.449997,645100
243.929993,247.410004,242.5,245.789993,245.789993,456300
243.570007,246.710007,241.789993,246.220001,246.220001,550800
245.410004,248.929993,240.839996,247.830002,247.830002,630400
242.899994,244.550003,240.559998,242.619995,242.619995,497900
243.240005,247.570007,243.0,246.179993,246.179993,426600
243.789993,250.350006,243.789993,249.550003,249.550003,357900
250.539993,255.300003,249.779999,251.970001,251.970001,547900
249.850006,252.130005,248.679993,249.559998,249.559998,507900
247.919998,250.270004,245.839996,248.539993,248.539993,268100
250.559998,252.75,249.160004,249.330002,249.330002,336000
249.119995,251.089996,247.520004,250.380005,250.380005,358300
252.580002,253.639999,248.029999,253.570007,253.570007,461800
254.470001,258.420013,254.470001,256.109985,256.109985,372500
256.100006,258.450012,246.720001,246.850006,246.850006,644100
245.789993,249.100006,243.860001,247.449997,247.449997,650500
248.070007,251.320007,247.479996,249.699997,249.699997,258300
247.639999,251.869995,245.860001,249.770004,249.770004,308200
250.050003,252.669998,245.0,245.589996,245.589996,418300
249.649994,253.210007,248.029999,252.880005,252.880005,469500
253.639999,257.630005,253.639999,256.600006,256.600006,329700
256.76001,261.369995,256.390015,259.679993,259.679993,320400
261.299988,265.899994,261.299988,264.920013,264.920013,369600
266.040009,269.519989,266.040009,268.470001,268.470001,300400
269.859985,271.339996,261.549988,263.929993,263.929993,358100
264.470001,266.220001,262.359985,265.049988,265.049988,321700
265.820007,267.320007,262.529999,267.160004,267.160004,253700
267.119995,268.850006,266.059998,267.73999,267.73999,284200
267.850006,270.5,265.5,268.25,268.25,261400
271.450012,272.25,268.029999,269.720001,269.720001,342200
269.200012,275.190002,268.170013,274.279999,274.279999,262100
277.570007,278.609985,272.480011,272.880005,272.880005,405200
272.73999,275.0,270.200012,273.929993,273.929993,557500
274.809998,275.940002,272.820007,275.01001,275.01001,274100
275.589996,276.0,270.679993,271.309998,271.309998,299300
272.329987,272.670013,268.529999,269.890015,269.890015,301500
270.459991,273.829987,270.01001,272.049988,272.049988,243200
272.01001,275.970001,270.589996,275.329987,275.329987,646300
278.25,281.299988,276.450012,280.160004,280.160004,518100
279.910004,280.700012,275.459991,277.01001,277.01001,417800
278.440002,279.910004,276.720001,278.869995,278.869995,280700
276.570007,278.73999,273.390015,278.48999,278.48999,256500
277.579987,277.679993,274.820007,276.75,276.75,298300
275.410004,280.179993,274.540009,279.549988,279.549988,489100
280.51001,284.369995,280.299988,282.529999,282.529999,518100
283.070007,285.859985,280.559998,285.459991,285.459991,304200
283.51001,285.329987,282.869995,284.23999,284.23999,324300
284.470001,284.470001,282.179993,284.079987,284.079987,286800
